metro,latitude,longitude
Aeroporto,38.77048488244511,-9.12812368511619
Encarnação,38.775838186273575,-9.115678236442546
Moscavide,38.775302873970226,-9.102889465046871
Oriente,38.76812595532433,-9.099327491823715
Cabo Ruivo,38.76359191204279,-9.103940890901015
Olivais,38.761931909444684,-9.112029426765723
Chelas,38.75551372116441,-9.11391355615664
Bela Vista,38.747586848754075,-9.118574297281535
Oiaias,38.73965282542005,-9.124619853161189
Alameda,38.73733495978866,-9.134166065672034
Saldanha,38.735393689266715,-9.145383795813018
São Sebastião,38.73493009444238,-9.152849900606087
Santa Apolónia,38.71426151503385,-9.122423156449457
Terreiro do Paço,38.70752480524486,-9.133241407403466
Baixa-Chiado,38.710863586164585,-9.141595855924152
Restauradores,38.71524409106152,-9.141565510199175
Avenida,38.72014520264049,-9.145874603145792
Estação Marquês de Pombal,38.72537741953982,-9.15033542537937
Parque,38.72975703505904,-9.15027473410972
Praça de Espanha,38.73759232576821,-9.158346697598553
Jardim Zoológico,38.74211320516956,-9.168785628086308
Laranjeiras,38.748479822283784,-9.172427115494777
Alto dos Moinhos,38.749592146907275,-9.179892163838915
Colégio Militar / Luz,38.75344964913842,-9.188601388112902
Carnide,38.75920001703569,-9.192849789874398
Pontinha (Metro),38.76282038131139,-9.19721957513871
Alfornelos,38.761022053407544,-9.204714969207826
Amadora Este,38.7583244765483,-9.219189881424503
Metro Reboleira,38.75276336046004,-9.224561074745287
Rato,38.72031093549906,-9.154158990321294
Picoas,38.731059031481564,-9.146511867627298
Campo Pequeno,38.74145047665575,-9.146633250437052
Entre Campos,38.747012474159405,-9.148059499525019
Cidade Universitária,38.751603754136596,-9.158983960772817
Campo Grande,38.76002822145069,-9.15795220598276
Quinta das Conchas,38.76710305914893,-9.15555489367302
Lumiar,38.77308891230189,-9.159712258237043
Ameixoeira (Metro),38.78011514251755,-9.159681912610672
Senhor Roubado,38.78586336142918,-9.172245043269207
Odivelas,38.793385022007435,-9.17321610705164
Telheiras,38.76040735296166,-9.16614634986797
Alvalade,38.75340284660773,-9.14378154981393
Roma,38.74850401639367,-9.141323545476679
Estação Areeiro,38.74278828967374,-9.133904015277675
Arroios,38.73358062903648,-9.13445023807932
Anjos,38.72626572890977,-9.135117844028796
Intendente,38.72221735526526,-9.135330264069824
Martim Moniz,38.71608517145788,-9.13613442565773
Rossio,38.71409624205926,-9.138471046465401
Cais do Sodré,38.70630573587418,-9.145071242098496
